Section;Localité;Unité;Nom;Animés;Animateurs;Equipes;Total par équipe
Baladins & Nutons;Haine-Saint-Pierre;BR006;Ribambelle Saint-Georges;20;4;4;6
Baladins & Nutons;Leernes, Fontaine-l'Evêque;9.T.O.;Baladins de Leernes;6;3;1;9
Baladins & Nutons;Enghien;BR001;Baladins Enghien;37;8;7;8
Baladins & Nutons;Monceau-sur-Sambre;To003;Ribambelle;7;3;2;6
Baladins & Nutons;Braine le comte;BR004 B;Baladins de B-L-C;12;4;2;8
Baladins & Nutons;Neufvilles;BR005;Baladins de Neufvilles;15;6;3;7
Baladins & Nutons;Soignies;HC06;Nutons Lucioles;32;7;7;6
Baladins & Nutons;Ecaussinnes;HC 04;Chaumière d'Ecaussines;23;7;5;7
Baladins & Nutons;Braine-le-Comte;HC02;Nutons de B-L-C;14;5;3;7
Louveteaux;Casteau;HD003;Meute de Casteau;37;10;6;9
Louveteaux;Enghien;BR001;Meute Seeonee;33;6;5;9
Louveteaux;Anderlues;6To;Louveteaux D'Anderlues;16;4;2;10
Louveteaux;Enghien;BR001;Meute Khanhiwhara;30;8;4;10
Louveteaux;Ecaussinnes;BR002;Louveteaux;55;10;7;10
Louveteaux;Leernes;TO009;Meute de Leernes;26;4;4;8
Louveteaux;Monceau-Sur-Sambre;TO003;Meute de la 3TO;21;5;3;9
Louveteaux;Tubize;BR 18RP;Meute Waigunga;30;8;4;10
Louveteaux;Soignies;BR015 L1;Meute Waingunga;36;5;5;9
Louveteaux;Haine-Saint-Pierre;BR006;Meute Khanhiwara;24;7;4;8
Louveteaux;Braine le Comte;BR004;Meute Micheline Gauthier;20;9;3;10
Louveteaux;Soignies;BR015 L2;Meute Ferao;35;7;5;9
Louveteaux;Biesme;NM023;Louveteaux de Biesme;26;9;4;10
Louveteaux;Hennuyères;BR017;Louveteaux d'Hennuyères;34;6;5;9
Louveteaux;Neufvilles;BR005;Meute petite grenouille;36;6;5;10
Louveteaux;La Louvière;BR007;Meute Waingunga;17;7;2;13
Lutins;Ecaussinnes;4HC;Lutins Sainte Therèse;53;9;6;11
Lutins;Soignies;HC06B;Lutins Ecureuils;40;8;5;10
Lutins;Hyon;12HC;Lutins;38;9;5;10
Lutins;Saint-Symphorien;13HC;Lutins Soleil levant;41;8;5;11
Lutins;Braine-le-Comte;HC2;Les Lutins de B-L-C;35;6;4;11
Lutins;Ath;4HO;Les Lutins d’Ath;35;7;4;11
Lutins;Boussu;JeanXXIII;Les Lutins de Boussu;8;4;1;12
Lutins;Soignies;HC06;Lutins Feux-Follets;33;8;4;11
